q,n_star,x_star,port_ret,port_volatility,budget_use
0.0,[ 0  2  0 11],[0.       0.25906  0.       0.743215],0.002066492405820794,0.025085175654820966,2004.5499999999997
0.04008016032064128,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.08016032064128256,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.12024048096192384,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.16032064128256512,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.2004008016032064,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.24048096192384769,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.280561122244489,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.32064128256513025,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.3607214428857715,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.4008016032064128,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.4408817635270541,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.48096192384769537,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.5210420841683366,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.561122244488978,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.6012024048096192,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.6412825651302605,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.6813627254509018,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.721442885771543,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.7615230460921844,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.8016032064128256,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.8416833667334669,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.8817635270541082,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.9218436873747494,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
0.9619238476953907,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.002004008016032,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.0420841683366733,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.0821643286573146,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.122244488977956,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.1623246492985972,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.2024048096192383,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.2424849699398797,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.282565130260521,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.3226452905811623,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.3627254509018036,[ 3  0  0 11],[0.259275 0.       0.       0.743215],0.0022278546173020823,0.026386358686200765,2004.9799999999998
1.4028056112224447,[ 1  0  1 10],[0.086425 0.       0.23018  0.67565 ],0.0021316073847560454,0.02499224900100359,1984.5099999999998
1.442885771543086,[ 1  0  1 10],[0.086425 0.       0.23018  0.67565 ],0.0021316073847560454,0.02499224900100359,1984.5099999999998
1.4829659318637274,[ 1  0  1 10],[0.086425 0.       0.23018  0.67565 ],0.0021316073847560454,0.02499224900100359,1984.5099999999998
1.5230460921843687,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.56312625250501,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.6032064128256511,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.6432865731462925,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
1.6833667334669338,[0 0 2 8],[0.      0.      0.46036 0.54052],0.0019330561253736818,0.022825477000112816,2001.76
